name, type,
ko:K10809,ortholog,
cpd:C02515,compound,
cpd:C01060,compound,
cpd:C01829,compound,
cpd:C02465,compound,
ko:K10809,ortholog,
cpd:C02515,compound,
cpd:C01060,compound,
cpd:C01829,compound,
cpd:C02465,compound,
cpd:C02465,compound,
cpd:C01829,compound,
cpd:C02465,compound,
cpd:C01829,compound,
cpd:C02515,compound,
cpd:C01060,compound,
path:ko00350,map,
path:ko04142,map,
cpd:C01330,compound,
cpd:C00238,compound,
cpd:C00708,compound,
ko:K17232,ortholog,
cpd:C00005,compound,
cpd:C00006,compound,
cpd:C00007,compound,
cpd:C00027,compound,
ko:K00431,ortholog,
cpd:C00027,compound,
ko:K04958 ko:K04959 ko:K04960,ortholog,
cpd:C00076,compound,
ko:K00431,ortholog,
cpd:C00027,compound,
path:ko04020,map,
ko:K10809,ortholog,
ko:K10809,ortholog,
ko:K09490,ortholog,
ko:K09487,ortholog,
ko:K08054,ortholog,
ko:K09582,ortholog,
path:ko04146,map,
ko:K10809,ortholog,
ko:K10809,ortholog,
ko:K06233,ortholog,
ko:K10809,ortholog,
ko:K06233,ortholog,
ko:K10809,ortholog,
ko:K10809,ortholog,
path:ko00480,map,
cpd:C00027,compound,
cpd:C00001,compound,
cpd:C00051,compound,
cpd:C00127,compound,
cpd:C00005,compound,
cpd:C00006,compound,
cpd:C00092,compound,
cpd:C00117 cpd:C00231,compound,
ko:K00432,ortholog,
ko:K10063 ko:K10064,ortholog,
ko:K00383,ortholog,
cpd:C00708,compound,
cpd:C02465 cpd:C01829,compound,
path:ko00623,map,
cpd:C00587,compound,
cpd:C03067,compound,
cpd:C03351,compound,
ko:K00492,ortholog,
ko:K00141,ortholog,
path:ko00362,map,
cpd:C01467,compound,
cpd:C00180,compound,
cpd:C04592,compound,
cpd:C00556,compound,
cpd:C01542,compound,
ko:K03268 ko:K16268 ko:K18089 ko:K18090,ortholog,
ko:K16269,ortholog,
cpd:C00261,compound,
ko:K00141,ortholog,
ko:K00055,ortholog,
cpd:C09816,compound,
ko:K07540,ortholog,
ko:K07543 ko:K07544,ortholog,
cpd:C09817,compound,
cpd:C09818,compound,
ko:K07545,ortholog,
cpd:C09819,compound,
ko:K07546,ortholog,
cpd:C09820,compound,
ko:K07547 ko:K07548,ortholog,
cpd:C00512,compound,
ko:K07549 ko:K07550,ortholog,
path:ko00362,map,
cpd:C00091,compound,
path:ko00622,map,
ko:K00492,ortholog,
ko:K15766 ko:K15767,ortholog,
cpd:C04559,compound,
cpd:C04112,compound,
cpd:C06730,compound,
ko:K01856,ortholog,
ko:K00141,ortholog,
cpd:C00633,compound,
cpd:C01468,compound,
ko:K03381,ortholog,
ko:K05797,ortholog,
ko:K15768 ko:K15769,ortholog,
cpd:C06678,compound,
cpd:C06679,compound,
cpd:C02236,compound,
cpd:C00230,compound,
cpd:C06677,compound,
cpd:C18302,compound,
cpd:C18301,compound,
cpd:C18300,compound,
ko:K03384,ortholog,
cpd:C18303,compound,
cpd:C18308,compound,
ko:K01860,ortholog,
ko:K01860,ortholog,
cpd:C18310,compound,
ko:K01061,ortholog,
cpd:C18304,compound,
ko:K01860,ortholog,
cpd:C18305,compound,
ko:K01061,ortholog,
cpd:C18306,compound,
ko:K00217,ortholog,
cpd:C18307,compound,
ko:K00217,ortholog,
cpd:C04558,compound,
cpd:C18312,compound,
cpd:C18311,compound,
ko:K01856,ortholog,
path:ko00622,map,
path:ko00362,map,
cpd:C02923,compound,
cpd:C01455,compound,
cpd:C18309,compound,
cpd:C00156,compound,
ko:K16249 ko:K16243 ko:K16244 ko:K16242 ko:K16245 ko:K16246,ortholog,
ko:K16249 ko:K16243 ko:K16244 ko:K16242 ko:K16245 ko:K16246,ortholog,
ko:K03380,ortholog,
ko:K15760 ko:K15761 ko:K15762 ko:K15763 ko:K15764 ko:K15765,ortholog,
ko:K15757 ko:K15758,ortholog,
ko:K15760 ko:K15761 ko:K15762 ko:K15763 ko:K15764 ko:K15765,ortholog,
ko:K15760 ko:K15761 ko:K15762 ko:K15763 ko:K15764 ko:K15765,ortholog,
cpd:C15556,compound,
cpd:C00199,compound,
path:ko00030,map,
path:ko00740,map,
path:ko00040,map,
path:ko00230,map,
cpd:C00044,compound,
cpd:C01304,compound,
cpd:C01268,compound,
cpd:C04454,compound,
cpd:C04332,compound,
cpd:C05995,compound,
cpd:C00472,compound,
cpd:C00001,compound,
cpd:C00007,compound,
cpd:C00530,compound,
cpd:C04732,compound,
cpd:C00255,compound,
cpd:C00474,compound,
cpd:C01727,compound,
cpd:C00016,compound,
ko:K02858 ko:K14652,ortholog,
ko:K00505,ortholog,
ko:K00953 ko:K11753,ortholog,
ko:K18453,ortholog,
ko:K00861 ko:K11753,ortholog,
ko:K01497 ko:K14652,ortholog,
ko:K01498 ko:K11752,ortholog,
ko:K00082 ko:K11752,ortholog,
ko:K00794,ortholog,
ko:K00793,ortholog,
ko:K07732,ortholog,
cpd:C00061,compound,
ko:K14654,ortholog,
cpd:C18910,compound,
cpd:C01847,compound,
ko:K00299 ko:K19285,ortholog,
cpd:C01352,compound,
path:ko00860,map,
cpd:C03114,compound,
ko:K04719,ortholog,
ko:K14655,ortholog,
ko:K08096,ortholog,
cpd:C15563,compound,
ko:K14653,ortholog,
ko:K14656,ortholog,
ko:K19286,ortholog,
ko:K15245,ortholog,
cpd:C01007,compound,
ko:K05901,ortholog,
ko:K05368,ortholog,
path:ko05143,map,
ko:K10161,ortholog,
ko:K04729,ortholog,
ko:K05406 ko:K05425,ortholog,
ko:K05482,ortholog,
ko:K04687,ortholog,
ko:K03156,ortholog,
ko:K14473,ortholog,
ko:K14474,ortholog,
ko:K06494,ortholog,
ko:K06527,ortholog,
ko:K06241,ortholog,
ko:K04519,ortholog,
cpd:C00584,compound,
cpd:C00696,compound,
ko:K06856,ortholog,
ko:K06856,ortholog,
ko:K05443,ortholog,
ko:K01404,ortholog,
ko:K05405,ortholog,
ko:K06490,ortholog,
path:ko04610,map,
ko:K01392,ortholog,
ko:K01354,ortholog,
cpd:C00306,compound,
cpd:C16003,compound,
ko:K14475,ortholog,
ko:K13537,ortholog,
ko:K14478,ortholog,
ko:K14477,ortholog,
ko:K08757,ortholog,
ko:K13822 ko:K13823,ortholog,
ko:K00463,ortholog,
ko:K13537,ortholog,
cpd:C00328,compound,
cpd:C00078,compound,
ko:K04390,ortholog,
ko:K14479,ortholog,
ko:K04389,ortholog,
path:ko04210,map,
ko:K04234,ortholog,
path:ko00380,map,
ko:K04634,ortholog,
ko:K05858,ortholog,
cpd:C01245,compound,
cpd:C00076,compound,
cpd:C00165,compound,
ko:K02677,ortholog,
cpd:C00533,compound,
path:ko04710,map,
path:ko04620,map,
ko:K03781,ortholog,
ko:K01825 ko:K01782 ko:K00022 ko:K07514,ortholog,
ko:K00463,ortholog,
ko:K04103,ortholog,
path:ko00760,map,
ko:K14265 ko:K00838,ortholog,
ko:K03334,ortholog,
ko:K00463,ortholog,
ko:K00493 ko:K07408 ko:K07409 ko:K07410 ko:K14338,ortholog,
ko:K00543,ortholog,
ko:K00669,ortholog,
ko:K00463,ortholog,
ko:K00543,ortholog,
ko:K00274,ortholog,
ko:K01593,ortholog,
ko:K01593,ortholog,
ko:K00463,ortholog,
ko:K14265 ko:K00838,ortholog,
ko:K03393,ortholog,
ko:K01432 ko:K14263 ko:K07130,ortholog,
ko:K00626,ortholog,
ko:K01692 ko:K01825 ko:K01782 ko:K07511 ko:K07514 ko:K07515,ortholog,
ko:K00252,ortholog,
ko:K00164,ortholog,
ko:K10217,ortholog,
ko:K03392,ortholog,
ko:K00452,ortholog,
ko:K01556,ortholog,
ko:K00486,ortholog,
ko:K01556,ortholog,
ko:K01432 ko:K14263 ko:K07130,ortholog,
ko:K01556,ortholog,
ko:K00453,ortholog,
ko:K01667,ortholog,
ko:K00502,ortholog,
ko:K00816 ko:K00825 ko:K14264,ortholog,
ko:K00816 ko:K00825 ko:K14264,ortholog,
ko:K00274,ortholog,
ko:K00466,ortholog,
ko:K01593,ortholog,
ko:K00274,ortholog,
ko:K11817,ortholog,
ko:K00128 ko:K14085 ko:K00149,ortholog,
path:ko00400,map,
path:ko00380,map,
path:ko00010,map,
ko:K01432 ko:K14263 ko:K07130,ortholog,
ko:K00128 ko:K14085 ko:K00149,ortholog,
ko:K00157,ortholog,
ko:K00274,ortholog,
ko:K01721,ortholog,
ko:K01426,ortholog,
ko:K01501,ortholog,
ko:K01237,ortholog,
ko:K11182,ortholog,
path:ko00627,map,
ko:K00562,ortholog,
ko:K00562,ortholog,
ko:K15067,ortholog,
cpd:C05663,compound,
cpd:C05639,compound,
cpd:C05652,compound,
cpd:C05638,compound,
cpd:C05651,compound,
cpd:C05648,compound,
cpd:C02172,compound,
cpd:C02298,compound,
cpd:C05658,compound,
cpd:C02775,compound,
cpd:C05655,compound,
cpd:C05654,compound,
cpd:C05656,compound,
cpd:C05641,compound,
cpd:C01111,compound,
cpd:C01249,compound,
cpd:C00024,compound,
cpd:C01717,compound,
cpd:C01252,compound,
cpd:C00328,compound,
cpd:C02700,compound,
cpd:C00463,compound,
cpd:C03574,compound,
cpd:C03230,compound,
cpd:C02693,compound,
cpd:C05646,compound,
cpd:C00643,compound,
cpd:C00078,compound,
cpd:C00332,compound,
cpd:C01144,compound,
cpd:C00877,compound,
cpd:C00527,compound,
cpd:C00322,compound,
cpd:C02220,compound,
cpd:C03824,compound,
cpd:C03722,compound,
cpd:C04409,compound,
cpd:C00632,compound,
cpd:C02470,compound,
cpd:C05645,compound,
cpd:C05637,compound,
cpd:C05636,compound,
cpd:C03227,compound,
cpd:C02161,compound,
cpd:C01987,compound,
cpd:C05640,compound,
cpd:C00780,compound,
cpd:C05634,compound,
cpd:C05635,compound,
cpd:C05659,compound,
cpd:C05647,compound,
cpd:C00978,compound,
cpd:C01598,compound,
cpd:C05643,compound,
cpd:C05642,compound,
cpd:C05644,compound,
cpd:C02043,compound,
cpd:C00954,compound,
cpd:C00637,compound,
cpd:C00398,compound,
cpd:C05660,compound,
cpd:C05832,compound,
cpd:C00955,compound,
cpd:C05834,compound,
cpd:C05835,compound,
cpd:C05831,compound,
cpd:C05830,compound,
cpd:C00108,compound,
cpd:C02938,compound,
cpd:C05653,compound,
cpd:C06212,compound,
cpd:C06213,compound,
cpd:C03453,compound,
cpd:C17203,compound,
cpd:C02937,compound,
cpd:C16518,compound,
cpd:C16516,compound,
cpd:C05837,compound,
ko:K11818,ortholog,
ko:K11819,ortholog,
ko:K11868,ortholog,
cpd:C00463,compound,
path:ko00400,map,
ko:K11812 ko:K11813,ortholog,
cpd:C16517,compound,
ko:K11821,ortholog,
ko:K11820,ortholog,
ko:K03782,ortholog,
ko:K11816,ortholog,
ko:K16903,ortholog,
ko:K16901 ko:K16902,ortholog,
cpd:C00331,compound,
path:ko00362,map,
cpd:C00122,compound,
cpd:C00042,compound,
cpd:C00036,compound,
cpd:C00026,compound,
path:ko00020,map,
cpd:C00041,compound,
cpd:C00049,compound,
cpd:C00152,compound,
cpd:C00402,compound,
cpd:C02362,compound,
cpd:C01042,compound,
ko:K13566,ortholog,
ko:K01914,ortholog,
ko:K01953,ortholog,
ko:K09758,ortholog,
ko:K01424,ortholog,
ko:K05597,ortholog,
ko:K01779,ortholog,
ko:K18309,ortholog,
ko:K03334,ortholog,
ko:K00278,ortholog,
ko:K14454 ko:K14455 ko:K00811 ko:K00812 ko:K00813 ko:K11358,ortholog,
ko:K00272,ortholog,
cpd:C03794,compound,
cpd:C03406,compound,
ko:K01940,ortholog,
ko:K01939,ortholog,
ko:K01744,ortholog,
ko:K01755 ko:K14681,ortholog,
ko:K01756,ortholog,
cpd:C00022,compound,
ko:K00827 ko:K00830 ko:K14272,ortholog,
ko:K00814 ko:K14260 ko:K14272,ortholog,
ko:K00259 ko:K19244,ortholog,
path:ko00473,map,
cpd:C00438,compound,
ko:K11540 ko:K11541 ko:K00609 ko:K00610 ko:K00608,ortholog,
path:ko00240,map,
path:ko00010,map,
path:ko00340,map,
path:ko00460,map,
path:ko00220,map,
path:ko00300,map,
path:ko00410,map,
path:ko00260,map,
path:ko00760,map,
path:ko00770,map,
ko:K00135 ko:K08324,ortholog,
ko:K00139 ko:K17761 ko:K08324,ortholog,
cpd:C00232,compound,
cpd:C00025,compound,
ko:K00264 ko:K00265 ko:K00266,ortholog,
ko:K00264 ko:K00265 ko:K00266,ortholog,
ko:K00260 ko:K15371,ortholog,
ko:K00261,ortholog,
ko:K00262,ortholog,
cpd:C00334,compound,
ko:K13524 ko:K07250 ko:K14268 ko:K00823,ortholog,
ko:K01580,ortholog,
cpd:C00064,compound,
ko:K01915,ortholog,
ko:K01425,ortholog,
ko:K05597,ortholog,
cpd:C00014,compound,
