q1,q2,edgeNum,pathwayNumber,ShortestPath,RunningTime
cpd:C03453,cpd:C00533,12,10,"[(cpd:C03453 : cpd:C00596)- (cpd:C00596 : cpd:C03589)- (cpd:C03589 : cpd:C00022)- (cpd:C00022 : cpd:C00593)- (cpd:C00593 : cpd:C00094)- (cpd:C00094 : cpd:C00224)- (cpd:C00224 : cpd:C01260)- (cpd:C01260 : cpd:C00002)- (cpd:C00002 : ko:K11029)- (ko:K11029 : ko:K02183)- (ko:K02183 : ko:K13242)- (ko:K13242 : cpd:C00533)]",9.206519,
cpd:C03453,cpd:C00533,12,10,"[(cpd:C03453 : cpd:C00596)- (cpd:C00596 : cpd:C03589)- (cpd:C03589 : cpd:C00022)- (cpd:C00022 : cpd:C00593)- (cpd:C00593 : cpd:C00094)- (cpd:C00094 : cpd:C00224)- (cpd:C00224 : cpd:C01260)- (cpd:C01260 : cpd:C00002)- (cpd:C00002 : ko:K11029)- (ko:K11029 : ko:K02183)- (ko:K02183 : ko:K13242)- (ko:K13242 : cpd:C00533)]",7.211795,
cpd:C00533,cpd:C03453,14,9,"[(cpd:C00533 : cpd:C00088)- (cpd:C00088 : cpd:C00014)- (cpd:C00014 : cpd:C00064)- (cpd:C00064 : cpd:C00025)- (cpd:C00025 : cpd:C00037)- (cpd:C00037 : cpd:C00065)- (cpd:C00065 : cpd:C00078)- (cpd:C00078 : cpd:C02700)- (cpd:C02700 : cpd:C00328)- (cpd:C00328 : cpd:C00108)- (cpd:C00108 : cpd:C00090)- (cpd:C00090 : cpd:C00682)- (cpd:C00682 : cpd:C02501)- (cpd:C02501 : cpd:C03453)]",14.910447,
cpd:C00031,ko:K01785,8,5,"[(cpd:C00031 : ko:K12762)- (ko:K12762 : ko:K01768)- (ko:K01768 : ko:K04345)- (ko:K04345 : undefinedpath:ko04922)- (undefinedpath:ko04922 : ko:K01084)- (ko:K01084 : ko:K01810 ko:K06859 ko:K13810 ko:K15916)- (ko:K01810 ko:K06859 ko:K13810 ko:K15916 : ko:K12407 ko:K00845)- (ko:K12407 ko:K00845 : ko:K01785)]",5.490176,
ko:K01785,cpd:C00031,9,7,"[(ko:K01785 : ko:K00844)- (ko:K00844 : ko:K01858)- (ko:K01858 : ko:K19517)- (ko:K19517 : ko:K00999)- (ko:K00999 : ko:K00923 ko:K02649)- (ko:K00923 ko:K02649 : ko:K01099)- (ko:K01099 : ko:K00922 ko:K02649)- (ko:K00922 ko:K02649 : ko:K07191)- (ko:K07191 : cpd:C00031)]",9.183315,
ko:K01785,cpd:C00031,9,7,"[(ko:K01785 : ko:K00844)- (ko:K00844 : ko:K01858)- (ko:K01858 : ko:K19517)- (ko:K19517 : ko:K00999)- (ko:K00999 : ko:K00923 ko:K02649)- (ko:K00923 ko:K02649 : ko:K01099)- (ko:K01099 : ko:K00922 ko:K02649)- (ko:K00922 ko:K02649 : ko:K07191)- (ko:K07191 : cpd:C00031)]",9.292199,
cpd:C00031,ko:K01785,8,5,"[(cpd:C00031 : ko:K12762)- (ko:K12762 : ko:K01768)- (ko:K01768 : ko:K04345)- (ko:K04345 : undefinedpath:ko04922)- (undefinedpath:ko04922 : ko:K01084)- (ko:K01084 : ko:K01810 ko:K06859 ko:K13810 ko:K15916)- (ko:K01810 ko:K06859 ko:K13810 ko:K15916 : ko:K12407 ko:K00845)- (ko:K12407 ko:K00845 : ko:K01785)]",5.459384,
cpd:C01101,path:ko00260,10,6,"[(cpd:C01101 : cpd:C00231)- (cpd:C00231 : cpd:C00118)- (cpd:C00118 : cpd:C00111)- (cpd:C00111 : cpd:C03372)- (cpd:C03372 : cpd:C00681)- (cpd:C00681 : cpd:C00416)- (cpd:C00416 : ko:K00889)- (ko:K00889 : ko:K00888 ko:K13711)- (ko:K00888 ko:K13711 : ko:K01114 ko:K16619)- (ko:K01114 ko:K16619 : path:ko00260)]",1.577036,
path:ko00260,cpd:C01101,20,7,"[(path:ko00260 : path:ko00460)- (path:ko00460 : ko:K17103 ko:K00998)- (ko:K17103 ko:K00998 : ko:K00999)- (ko:K00999 : ko:K00888 ko:K13711)- (ko:K00888 ko:K13711 : ko:K01099)- (ko:K01099 : ko:K00922 ko:K02649)- (ko:K00922 ko:K02649 : ko:K04456)- (ko:K04456 : ko:K03083)- (ko:K03083 : ko:K00693)- (ko:K00693 : cpd:C00369)- (cpd:C00369 : cpd:C00103)- (cpd:C00103 : cpd:C00029)- (cpd:C00029 : cpd:C00167)- (cpd:C00167 : cpd:C00190)- (cpd:C00190 : cpd:C02352)- (cpd:C02352 : cpd:C00181)- (cpd:C00181 : cpd:C00379)- (cpd:C00379 : cpd:C00312)- (cpd:C00312 : cpd:C03291)- (cpd:C03291 : cpd:C01101)]",11.400269,
path:ko00260,cpd:C01101,20,7,"[(path:ko00260 : path:ko00460)- (path:ko00460 : ko:K17103 ko:K00998)- (ko:K17103 ko:K00998 : ko:K00999)- (ko:K00999 : ko:K00888 ko:K13711)- (ko:K00888 ko:K13711 : ko:K01099)- (ko:K01099 : ko:K00922 ko:K02649)- (ko:K00922 ko:K02649 : ko:K04456)- (ko:K04456 : ko:K03083)- (ko:K03083 : ko:K00693)- (ko:K00693 : cpd:C00369)- (cpd:C00369 : cpd:C00103)- (cpd:C00103 : cpd:C00029)- (cpd:C00029 : cpd:C00167)- (cpd:C00167 : cpd:C00190)- (cpd:C00190 : cpd:C02352)- (cpd:C02352 : cpd:C00181)- (cpd:C00181 : cpd:C00379)- (cpd:C00379 : cpd:C00312)- (cpd:C00312 : cpd:C03291)- (cpd:C03291 : cpd:C01101)]",9.34798,
