Landamark, Destination, Distance
39,04,2.0,
39,05,3.0,
39,06,3.0,
39,53,1.0,
39,75,2.0,
39,83,1.0,
39,80,3.0,
39,84,1.0,
39,86,3.0,
39,85,4.0,
39,87,3.0,
39,52,2.0,
39,82,1.0,
39,88,2.0,
39,95,3.0,
39,99,2.0,
39,98,3.0,
39,81,3.0,
39,33,2.0,
